appid,,type,is_free,release_date,required_age,short_description,supported_languages,header_image,background,metacritic_score,recommendations_total,mat_supports_windows,mat_supports_mac,mat_supports_linux,mat_initial_price,mat_final_price,mat_discount_percent,mat_currency,mat_achievement_count,mat_pc_os_min,mat_pc_processor_min,mat_pc_memory_min,mat_pc_graphics_min,mat_pc_os_rec,mat_pc_processor_rec,mat_pc_memory_rec,mat_pc_graphics_rec,created_at,updated_at,,,,name
1510,,game,FALSE,23/08/06,0,"Uplink lets you play as a freelance hacker tackling risky contracts for corporations. Break into systems, steal data, sabotage rivals, and upgrade your gear. Support factions or go rogue in this immersive, strategy-driven hacking simulation game where your choices shape the outcome.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1510/header.jpg?t=1739068939,https://store.akamai.steamstatic.com/images/storepagebackground/app/1510?t=1739068939,75,1713,TRUE,TRUE,TRUE,1199,1199,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Uplink
1520,,game,FALSE,29/09/06,0,"Inspired by the 1983 cult classic film, Wargames, DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare.","English, French, German, Italian, Spanish - Spain",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1520/header.jpg?t=1739091415,https://store.akamai.steamstatic.com/images/storepagebackground/app/1520?t=1739091415,84,3350,TRUE,TRUE,TRUE,1199,1199,0,USD,22,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,DEFCON
1522,,demo,TRUE,29/09/06,0,"Inspired by the 1983 cult classic film, Wargames, DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare. You play a General hidden deep within an underground bunker.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1522/header.jpg?t=1732629967,https://store.akamai.steamstatic.com/images/storepagebackground/app/1522?t=1732629967,84,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,DEFCON Demo
1530,,game,FALSE,19/09/08,0,"Multiwinia is a fast-paced, retro-inspired RTS that blends arcade action with strategic depth. Command armies of Multiwinians in multiplayer battles across vibrant, nostalgic environments. With simple controls and dynamic gameplay, it offers endless fun and challenge for players of all skill levels.","English, French, Italian, German, Spanish - Spain",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1530/header.jpg?t=1739429210,https://store.akamai.steamstatic.com/images/storepagebackground/app/1530?t=1739429210,76,396,TRUE,TRUE,TRUE,1199,1199,0,USD,12,,2.0 GHz CPU,512 MB RAM,GeForce 6200 or RADEON 9600 series,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,,,,Multiwinia
1540,,demo,TRUE,19/09/08,0,,"English, French, Italian, German, Spanish - Spain",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1540/header.jpg?t=1447351480,https://store.akamai.steamstatic.com/images/storepagebackground/app/1540?t=1447351480,76,,TRUE,TRUE,TRUE,,,,,,,2.0 GHz CPU,512 MB RAM,GeForce 6200 or RADEON 9600 series,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:55.901652+00:00,,,,Multiwinia Demo
1600,,game,FALSE,07/02/06,0,"S.C.S. - Dangerous Waters allows you total control over multiple air, surface, and submarine platforms in a modern-day naval environment. Take direct control of individual crew stations and also plan and execute combined arms naval strategies from a top-down 'Commanders Eye' perspective.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1600/header.jpg?t=1597950815,https://store.akamai.steamstatic.com/images/storepagebackground/app/1600?t=1597950815,82,328,TRUE,TRUE,TRUE,1499,1499,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Dangerous Waters
1610,,game,FALSE,07/02/06,0,"The award-winning Space Empires IV Deluxe is the latest edition in the Space Empires series. A grand strategy title in the space 4X (explore, expand, exploit, and exterminate) genre, Space Empires has already found a place in the heart of strategy gamers everywhere.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1610/header.jpg?t=1593724210,https://store.akamai.steamstatic.com/images/storepagebackground/app/1610?t=1593724210,79,247,TRUE,TRUE,TRUE,999,999,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Space Empires IV Deluxe
1620,,game,FALSE,06/07/06,0,"The small country of Arulco has been taken over by a merciless dictator - and only you can loosen the iron grip! Jagged Alliance 2 Gold Pack immerses you into an elaborate role-playing universe where you will interact with more than 150 characters, recruit your own band of soldiers and create your own custom mercenary to win back Arulco...",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1620/header.jpg?t=1572300558,https://store.akamai.steamstatic.com/images/storepagebackground/app/1620?t=1572300558,,,TRUE,TRUE,TRUE,1999,399,80,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Jagged Alliance 2 Gold
1630,,game,FALSE,06/07/06,0,The award-winning series Disciples introduced a milestone in the game's very successful history; the introduction of a new race: The Elves. The Elven Race added a new dimension to the game and added countless hours of gameplay. Now that series has expanded further with Disciples II: Rise Of The Elves.,English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1630/18139052d97557c6f452b045a169b31c17890675/header.jpg?t=1740590219,https://store.akamai.steamstatic.com/images/storepagebackground/app/1630?t=1740590219,80,1199,TRUE,TRUE,TRUE,599,599,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Disciples II: Rise of the Elves 
1640,,game,FALSE,06/07/06,0,"Disciples II: Gallean's Return is a compilation edition that includes the base game, Disciples II: Dark Prophecy, plus the two standalone expansions Disciples II: Guardians of the Light and Disciples II: Servants of the Dark.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1640/header.jpg?t=1740588512,https://store.akamai.steamstatic.com/images/storepagebackground/app/1640?t=1740588512,84,1396,TRUE,TRUE,TRUE,599,599,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Disciples II: Gallean's Return
